Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g8093.t1,hypothetical protein SNOG_16330 [Phaeosphaeria nodorum SN15],182,56.00%,0,-,
g8094.t1,hypothetical protein SNOG_16331 [Phaeosphaeria nodorum SN15],310,62.00%,0,-,
g8095.t1,Not Available,228,,0,-,
g8096.t1,Not Available,157,,0,-,
g8097.t1,Not Available,138,,0,-,
g8098.t1,nonsense-mediated mrna decay protein 1,1562,45.35%,4,F:endonuclease activity; F:nucleic acid binding; F:helicase activity; F:zinc ion binding,-
g8099.t1,Not Available,469,,0,-,
g81.t1,Not Available,724,,0,-,
g810.t1,Not Available,159,,0,-,
g8100.t1,Not Available,328,,0,-,
g8101.t1,Not Available,214,,0,-,
g8102.t1,Not Available,277,,0,-,
g8103.t1,protein,1103,43.50%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g8104.t1,Not Available,375,,0,-,
g8105.t1,and tpr domain-containing protein,139,80.35%,6,F:unfolded protein binding; P:protein folding; F:heat shock protein binding; F:binding; F:kinase activity; P:phosphorylation,
g8106.t1,1-phosphatidylinositol-3-phosphate 5-kinase fab1,2482,66.70%,5,P:phosphoinositide phosphorylation; F:ATP binding; P:cellular protein metabolic process; F:zinc ion binding; F:phosphatidylinositol phosphate kinase activity,-
g8107.t1,Not Available,112,,0,-,
g8108.t1,Not Available,212,,0,-,
g8109.t1,Not Available,146,,0,-,
g811.t1,e3 ubiquitin-protein ligase,4120,63.75%,5,C:intracellular; P:mycelium development; F:acid-amino acid ligase activity; F:binding; P:protein modification process,EC:6.3.2.0
g8110.t1,Not Available,268,,0,-,
g8111.t1,Not Available,312,,0,-,
g8112.t1,vacuolar protein sorting-associated protein,557,89.95%,0,-,
g8113.t1,mitochondrial inheritance component mdm12,722,65.35%,2,C:endoplasmic reticulum membrane; C:mitochondrial outer membrane,-
g8114.t1,Not Available,391,,0,-,
g8115.t1,glycoside hydrolase family 62 protein,154,72.25%,5,F:cellulose binding; F:alpha-N-arabinofuranosidase activity; P:L-arabinose metabolic process; C:extracellular region; P:xylan catabolic process,EC:3.2.1.55
g8116.t1,Not Available,83,,0,-,
g8117.t1,rnase h domain containing protein,557,61.70%,0,-,
g8118.t1,domain protein,1196,58.95%,2,"P:cell wall macromolecule catabolic process; F:glucan 1,3-beta-glucosidase activity",EC:3.2.1.58
g8119.t1,Not Available,719,,0,-,
g812.t1,Not Available,271,,0,-,
g8120.t1,protein kinase-like domain,258,62.60%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein tyrosine kinase activity,EC:2.7.10.0
g8121.t1,class v,909,55.13%,10,"F:cation binding; F:chitinase activity; F:hydrolase activity; F:chitin binding; P:carbohydrate metabolic process; F:catalytic activity; F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process; P:chitin catabolic process; F:hydrolase activity, acting on glycosyl bonds",
g8122.t1,hypothetical protein GLRG_00674 [Glomerella graminicola M1.001],2203,66.40%,1,C:integral to membrane,-
g8123.t1,ribosome assembly protein,1493,78.85%,6,P:ribosomal subunit export from nucleus; C:Noc2p-Noc3p complex; C:mitochondrion; P:mycelium development; C:Noc1p-Noc2p complex; P:ribosome assembly,-
g8124.t1,Not Available,1254,,0,-,
g8125.t1,methionyl-trna synthetase,1271,84.35%,7,C:cytoplasm; P:carbohydrate metabolic process; P:methionyl-tRNA aminoacylation; F:ATP binding; F:nucleotidyltransferase activity; F:methionine-tRNA ligase activity; P:spore germination,EC:2.7.7.0; EC:6.1.1.10
g8126.t1,hypothetical protein CH063_02776 [Colletotrichum higginsianum],740,66.65%,0,-,
g8127.t1,Not Available,199,,0,-,
g8128.t1,Not Available,305,,0,-,
g8129.t1,Not Available,713,,0,-,
g813.t1,Not Available,246,,0,-,
g8130.t1,mitochondrial inner membrane protease subunit,288,67.75%,3,C:membrane; P:proteolysis; F:serine-type peptidase activity,-
g8131.t1,eukaryotic translation initiation factor 2 subunit alpha,310,89.90%,3,C:eukaryotic translation initiation factor 2 complex; P:translational initiation; F:translation initiation factor activity,-
g8132.t1,mitotic checkpoint protein bub3,345,75.40%,0,-,
g8133.t1,Not Available,215,,0,-,
g8134.t1,Not Available,443,,0,-,
g8135.t1,positive regulator of purine utilization,1831,70.25%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8136.t1,Not Available,557,,0,-,
g8137.t1,Not Available,129,,0,-,
g8138.t1,Not Available,161,,0,-,
g8139.t1,Not Available,273,,0,-,
g814.t1,Not Available,337,,0,-,
g8140.t1,hypothetical protein TRIATDRAFT_31330 [Trichoderma atroviride IMI 206040],330,39.67%,0,-,
g8141.t1,duf1014 domain protein,267,79.90%,0,-,
g8142.t1,Not Available,784,,0,-,
g8143.t1,ubiquitin-conjugating enzyme,300,62.65%,2,F:acid-amino acid ligase activity; P:post-translational protein modification,EC:6.3.2.0
g8144.t1,ubiquitin-conjugating enzyme,505,51.62%,3,P:post-translational protein modification; F:acid-amino acid ligase activity; C:cellular_component,
g8145.t1,Not Available,178,,0,-,
g8146.t1,protein msf1,186,84.75%,0,-,
g8147.t1,methyltransferase domain-containing protein,692,56.50%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g8148.t1,protein,1144,59.30%,3,F:molecular_function; P:biological_process; C:cellular_component,
g8149.t1,mrna splicing factor rna helicase,996,85.00%,4,F:ATP-dependent helicase activity; F:nucleic acid binding; P:mRNA processing; F:ATP binding,-
g815.t1,Not Available,1642,,0,-,
g8150.t1,Not Available,136,,0,-,
g8151.t1,tpr domain protein,562,75.90%,1,F:identical protein binding,-
g8152.t1,Not Available,291,,0,-,
g8153.t1,hypothetical protein SNOG_05846 [Phaeosphaeria nodorum SN15],364,42.75%,0,-,
g8154.t1,hypothetical protein TRIATDRAFT_88626 [Trichoderma atroviride IMI 206040],616,44.00%,0,-,
g8155.t1,Not Available,221,,0,-,
g8156.t1,xylanase family 10,382,80.60%,7,"F:cellulase activity; F:cation binding; F:cellulose binding; P:cellulose catabolic process; C:extracellular region; F:endo-1,4-beta-xylanase activity; P:xylan catabolic process",EC:3.2.1.4; EC:3.2.1.8
g8157.t1,Not Available,142,,0,-,
g8158.t1,polyamine transporter tpo5,528,79.20%,3,C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport,-
g8159.t1,Not Available,406,,0,-,
g816.t1,Not Available,248,,0,-,
g8160.t1,Not Available,144,,0,-,
g8161.t1,hypothetical protein GLRG_10227 [Glomerella graminicola M1.001],278,70.80%,3,F:oxidoreductase activity; P:oxidation reduction; F:antioxidant activity,-
g8162.t1,Not Available,132,,0,-,
g8163.t1,Not Available,90,,0,-,
g8164.t1,Not Available,329,,0,-,
g8165.t1,Not Available,619,,0,-,
g8166.t1,glycosyl transferase family protein,324,68.30%,2,"F:transferase activity, transferring glycosyl groups; P:mycelium development",-
g8167.t1,Not Available,793,,0,-,
g8168.t1,glycoside hydrolase family 76 protein,460,76.30%,2,"F:mannan endo-1,6-alpha-mannosidase activity; P:carbohydrate catabolic process",EC:3.2.1.101
g8169.t1,zinc mynd-type domain containing protein,199,56.93%,1,F:zinc ion binding,-
g817.t1,40s ribosomal protein s8,206,92.00%,4,"F:structural constituent of ribosome; C:cytosolic small ribosomal subunit; P:translational elongation; P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-
g8170.t1,delta(24(24 ))-sterol reductase,539,77.35%,1,C:membrane,-
g8171.t1,Not Available,557,,0,-,
g8172.t1,translin family protein,415,73.35%,2,F:sequence-specific DNA binding; P:pathogenesis,-
g8173.t1,vacuolar atp synthase 16 kda proteolipid subunit,355,93.40%,6,"F:hydrogen ion transporting ATP synthase activity, rotational mechanism; C:integral to membrane; P:ATP synthesis coupled proton transport; C:proton-transporting V-type ATPase, V0 domain; C:proton-transporting ATP synthase complex, coupling factor F(o); P:ATP hydrolysis coupled proton transport",-
g8174.t1,snrnp and snornp protein,126,87.00%,5,C:nucleolus; C:ribosome; P:mycelium development; F:RNA binding; P:ribosome biogenesis,-
g8175.t1,domain protein,1011,68.95%,1,F:phosphoric ester hydrolase activity,-
g8176.t1,Not Available,672,,0,-,
g8177.t1,hypothetical protein MAA_05588 [Metarhizium anisopliae ARSEF 23],377,60.90%,0,-,
g8178.t1,Not Available,297,,0,-,
g8179.t1,transketolase,681,89.55%,2,P:metabolic process; F:transketolase activity,EC:2.2.1.1
g818.t1,integral membrane,222,59.20%,0,-,
g8180.t1,Not Available,767,,0,-,
g8181.t1,Not Available,514,,0,-,
g8182.t1,Not Available,237,,0,-,
g8183.t1,Not Available,100,,0,-,
g8184.t1,galactoside o-acetyltransferase,618,74.60%,2,P:transmembrane transport; F:transferase activity,-
g8185.t1,gluconate 5-dehydrogenase,639,71.30%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g8186.t1,copper amine oxidase,670,68.95%,5,F:copper ion binding; P:oxidation reduction; F:quinone binding; F:amine oxidase activity; P:amine metabolic process,EC:1.4.3.21
g8187.t1,mfs transporter,516,77.90%,1,P:transmembrane transport,-
g8188.t1,acetolactate synthase,599,75.25%,4,P:metabolic process; F:lyase activity; F:magnesium ion binding; F:thiamin pyrophosphate binding,-
g8189.t1,d-lactate dehydrogenase,981,78.45%,3,F:FAD binding; P:oxidation reduction; F:D-lactate dehydrogenase (cytochrome) activity,EC:1.1.2.4
g819.t1,Not Available,101,,0,-,
g8190.t1,Not Available,84,,0,-,
g8191.t1,fungal specific transcription factor,859,46.75%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8192.t1,mfs transporter,458,71.30%,1,P:transmembrane transport,-
g8193.t1,salicylaldehyde dehydrogenase,512,69.70%,2,P:oxidation reduction; F:oxidoreductase activity,-
g8194.t1,hexose transporter,525,68.40%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g8195.t1,Not Available,282,,0,-,
g8196.t1,beta-glucosidase,823,59.35%,3,C:extracellular region; F:beta-glucosidase activity; P:cellulose catabolic process,EC:3.2.1.21
g8197.t1,Not Available,134,,0,-,
g8198.t1,amidase,517,52.15%,3,"F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; F:transferase activity; F:amidase activity",EC:6.3.5.0; EC:3.5.1.4
g8199.t1,hypothetical protein MAA_08281 [Metarhizium anisopliae ARSEF 23],176,51.67%,0,-,
g82.t1,high-affinity nicotinic acid transporter,731,80.65%,1,P:transmembrane transport,-
g820.t1,Not Available,111,,0,-,
g8200.t1,cfem domain-containing protein,432,56.45%,0,-,
g8201.t1,Not Available,216,,0,-,
g8202.t1,restculine oxidase,652,68.35%,3,F:FAD binding; F:oxidoreductase activity; P:oxidation reduction,-
g8203.t1,Not Available,244,,0,-,
g8204.t1,fad binding domain-containing protein,869,61.60%,3,F:FAD binding; F:oxidoreductase activity; P:oxidation reduction,-
g8205.t1,mfs transporter,915,61.95%,5,P:tetracycline transport; P:transmembrane transport; C:integral to membrane; P:response to antibiotic; F:tetracycline:hydrogen antiporter activity,-
g8206.t1,polyketide synthase,3399,56.95%,11,F:erythronolide synthase activity; F:acyltransferase activity; F:oxidoreductase activity; F:acyl carrier activity; P:biosynthetic process; F:cofactor binding; F:cysteine-type endopeptidase activity; P:proteolysis; F:zinc ion binding; F:phosphopantetheine binding; P:oxidation reduction,EC:2.3.1.94; EC:3.4.22.0
g8207.t1,Not Available,269,,0,-,
g8208.t1,Not Available,493,,0,-,
g8209.t1,rta1 domain,577,62.25%,2,C:integral to membrane; P:response to stress,-
g821.t1,Not Available,233,,0,-,
g8210.t1,oxidoreductase domain protein,382,50.25%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g8211.t1,nad binding rossmann fold oxidoreductase,375,71.85%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g8212.t1,like family protein,454,62.15%,3,F:catalytic activity; P:metabolic process; F:binding,-
g8213.t1,Not Available,214,,0,-,
g8214.t1,3-hydroxyphenylacetate 6 hydroxylase,527,79.85%,4,F:heme binding; F:monooxygenase activity; P:oxidation reduction; F:electron carrier activity,-
g8215.t1,major facilitator superfamily transporter,460,63.15%,6,P:tetracycline transport; P:mycelium development; P:transmembrane transport; C:integral to membrane; P:response to antibiotic; F:tetracycline:hydrogen antiporter activity,-
g8216.t1,Not Available,341,,0,-,
g8217.t1,hypothetical protein GLRG_10833 [Glomerella graminicola M1.001],864,44.75%,0,-,
g8218.t1,Not Available,515,,0,-,
g8219.t1,acetamidase,542,75.30%,3,"F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; F:transferase activity; F:amidase activity",EC:6.3.5.0; EC:3.5.1.4
g822.t1,leucine rich repeat domain containing protein,933,52.50%,1,P:mycelium development,-
g8220.t1,Not Available,319,,0,-,
g8221.t1,hypothetical protein CHGG_09772 [Chaetomium globosum CBS 148.51],365,48.20%,0,-,
g8222.t1,hsp70 family chaperone,1167,48.35%,0,-,
g8223.t1,Not Available,150,,0,-,
g8224.t1,heterokaryon incompatibility,1532,47.95%,1,F:ATP binding,-
g8225.t1,Not Available,672,,0,-,
g8226.t1,uracil permease,795,83.70%,3,C:membrane; P:nucleobase transport; F:nucleobase transmembrane transporter activity,-
g8227.t1,Not Available,240,,0,-,
g8228.t1,xylosidase : arabinofuranosidase,581,69.30%,2,"P:xylan catabolic process; F:xylan 1,4-beta-xylosidase activity",EC:3.2.1.37
g8229.t1,duf614 domain protein,151,64.55%,3,F:molecular_function; P:biological_process; C:cellular_component,
g823.t1,Not Available,474,,0,-,
g8230.t1,predicted protein [Chaetomium globosum CBS 148.51],110,69.62%,0,-,
g8231.t1,Not Available,362,,0,-,
g8232.t1,uv-endonuclease uve-1,701,77.60%,3,F:endonuclease activity; P:response to UV; P:nucleotide-excision repair,-
g8233.t1,nitrogen regulatory protein otam,633,58.40%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8234.t1,Not Available,147,,0,-,
g8235.t1,beta-fructosidases (levanase invertase),526,53.30%,2,"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds",EC:3.2.1.0
g8236.t1,Not Available,355,,0,-,
g8237.t1,sugar transporter,523,65.35%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g8238.t1,Not Available,444,,0,-,
g8239.t1,hypothetical protein [Magnaporthe oryzae 70-15],413,63.00%,4,F:molecular_function; P:biological_process; F:zinc ion binding; C:cellular_component,
g824.t1,Not Available,278,,0,-,
g8240.t1,Not Available,457,,0,-,
g8241.t1,cap22 protein,224,58.78%,2,C:extracellular region; C:cell wall,-
g8242.t1,beta-,977,59.15%,4,C:extracellular region; P:polysaccharide catabolic process; F:cation binding; F:beta-mannosidase activity,EC:3.2.1.25
g8243.t1,gnat family,201,69.50%,2,F:N-acetyltransferase activity; P:metabolic process,-
g8244.t1,Not Available,158,,0,-,
g8245.t1,Not Available,104,,0,-,
g8246.t1,rhamnogalacturonate lyase,340,53.50%,4,F:carboxypeptidase activity; F:carbohydrate binding; P:carbohydrate metabolic process; F:lyase activity,-
g8247.t1,rhamnogalacturonate lyase,294,59.65%,3,F:carbohydrate binding; P:carbohydrate metabolic process; F:lyase activity,-
g8248.t1,predicted protein [Chaetomium globosum CBS 148.51],294,56.10%,0,-,
g8249.t1,hypothetical protein THITE_2117102 [Thielavia terrestris NRRL 8126],345,59.65%,0,-,
g825.t1,zinc finger protein odd-paired-like,640,54.05%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g8250.t1,Not Available,186,,0,-,
g8251.t1,integral membrane protein,402,65.30%,3,F:molecular_function; P:biological_process; C:cellular_component,
g8252.t1,Not Available,189,,0,-,
g8253.t1,Not Available,501,,0,-,
g8254.t1,o-methyltransferase,1081,66.35%,2,P:methylation; F:sterigmatocystin 7-O-methyltransferase activity,EC:2.1.1.110
g8255.t1,gnat family,251,66.85%,2,F:N-acetyltransferase activity; P:metabolic process,-
g8256.t1,fad binding domain protein,422,74.40%,4,F:monooxygenase activity; P:oxidation reduction; F:electron carrier activity; P:pathogenesis,-
g8257.t1,Not Available,234,,0,-,
g8258.t1,Not Available,328,,0,-,
g8259.t1,general substrate transporter,487,79.05%,1,P:transmembrane transport,-
g826.t1,Not Available,434,,0,-,
g8260.t1,Not Available,400,,0,-,
g8261.t1,hypothetical protein FOXB_12345 [Fusarium oxysporum Fo5176],617,50.33%,0,-,
g8262.t1,alpha- -mannosyltransferase cmt1,457,70.20%,6,"F:transcription factor activity; F:transferase activity, transferring glycosyl groups; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8263.t1,Not Available,118,,0,-,
g8264.t1,protein kinase-like domain,669,56.20%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein tyrosine kinase activity,EC:2.7.10.0
g8265.t1,serine protein kinase sky1,305,64.90%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g8266.t1,Not Available,651,,0,-,
g8267.t1,cell cycle inhibitor,731,67.20%,1,F:binding,-
g8268.t1,Not Available,261,,0,-,
g8269.t1,proteasome subunit beta type 7 precursor,273,93.05%,5,C:cytoplasm; C:proteasome core complex; C:nucleus; F:threonine-type endopeptidase activity; P:proteolysis involved in cellular protein catabolic process,EC:3.4.25.0
g827.t1,translation initiation factor eif2b,541,75.85%,3,F:nucleotidyltransferase activity; P:translational initiation; F:translation initiation factor activity,EC:2.7.7.0
g8270.t1,nuclear pore complex subunit nup159,2155,81.60%,1,F:binding,-
g8271.t1,Not Available,263,,0,-,
g8272.t1,Not Available,216,,0,-,
g8273.t1,glycoside hydrolase family 37 protein,1347,73.50%,2,"P:trehalose metabolic process; F:alpha,alpha-trehalase activity",EC:3.2.1.28
g8274.t1,threonine aldolase,910,79.65%,3,F:pyridoxal phosphate binding; P:cellular amino acid metabolic process; F:lyase activity,-
g8275.t1,hypothetical protein MAA_08918 [Metarhizium anisopliae ARSEF 23],279,48.00%,0,-,
g8276.t1,Not Available,139,,0,-,
g8277.t1,Not Available,102,,0,-,
g8278.t1,adp-ribosylation factor family protein,611,89.70%,3,C:intracellular; F:GTP binding; P:small GTPase mediated signal transduction,-
g8279.t1,Not Available,283,,0,-,
g828.t1,glycosyl hydrolase family 7,447,84.05%,2,"P:carbohydrate metabolic process; F:cellulose 1,4-beta-cellobiosidase activity",EC:3.2.1.91
g8280.t1,dna-directed rna polymerase i 135 kda polypeptide,2031,78.55%,6,"C:nucleolus; F:metal ion binding; F:DNA-directed RNA polymerase activity; P:transcription, DNA-dependent; F:DNA binding; F:ribonucleoside binding",EC:2.7.7.6
g8281.t1,Not Available,409,,0,-,
g8282.t1,Not Available,451,,0,-,
g8283.t1,small nuclear ribonucleoprotein sm d1,190,95.15%,2,F:nucleic acid binding; C:ribonucleoprotein complex,-
g8284.t1,n -glutamine methyltransferase mtq2,388,63.85%,3,F:nucleic acid binding; F:methyltransferase activity; P:methylation,EC:2.1.1.0
g8285.t1,nonselective cation channel,732,75.15%,3,P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity; F:receptor activity,EC:2.7.11.0
g8286.t1,Not Available,259,,0,-,
g8287.t1,f-box domain protein,537,57.15%,2,F:binding; F:heat shock protein binding,
g8288.t1,acyl- dehydrogenase family member 11,574,71.65%,2,P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g8289.t1,ccaat-binding transcription factor subunit b,306,74.35%,5,"F:transcription factor activity; F:binding; P:mycelium development; C:nucleus; P:regulation of transcription, DNA-dependent",-
g829.t1,Not Available,161,,0,-,
g8290.t1,Not Available,287,,0,-,
g8291.t1,Not Available,297,,0,-,
g8292.t1,Not Available,243,,0,-,
g8293.t1,protein,751,60.15%,3,F:molecular_function; P:biological_process; C:cellular_component,
g8294.t1,Not Available,135,,0,-,
g8295.t1,Not Available,664,,0,-,
g8296.t1,coiled-coil domain-containing protein mtmr15,828,72.45%,2,"C:nucleus; F:hydrolase activity, acting on ester bonds",-
g8297.t1,compass complex subunit,729,55.00%,0,-,
g8298.t1,40s ribosomal protein s13,151,93.90%,4,C:ribosome; P:mycelium development; F:structural constituent of ribosome; P:translation,-
g8299.t1,splicing factor u2af large subunit,550,81.25%,4,F:RNA binding; P:mRNA processing; C:nucleus; F:nucleotide binding,-
g83.t1,ser thr protein phosphatase family,359,49.95%,1,F:phosphoprotein phosphatase activity,EC:3.1.3.16
g830.t1,Not Available,194,,0,-,
g8300.t1,n-glycosylase dna lyase,418,74.55%,4,P:base-excision repair; F:oxidized purine base lesion DNA N-glycosylase activity; F:damaged DNA binding; P:nucleotide-excision repair,EC:3.2.2.23
g8301.t1,Not Available,1265,,0,-,
g8302.t1,u2 snrnp component prp10,1213,90.10%,1,F:binding,-
g8303.t1,Not Available,104,,0,-,
g8304.t1,Not Available,147,,0,-,
g8305.t1,c2h2 finger domain containing protein,361,66.85%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g8306.t1,Not Available,120,,0,-,
g8307.t1,ankyrin repeat-containing protein,458,52.15%,0,-,
g8308.t1,Not Available,844,,0,-,
g8309.t1,endo-beta- -xylanase,360,67.45%,4,"P:xylan catabolic process; C:extracellular region; F:endo-1,4-beta-xylanase activity; F:cation binding",EC:3.2.1.8
g831.t1,Not Available,801,,0,-,
g8310.t1,Not Available,549,,0,-,
g8311.t1,glycosyl hydrolase family 7,450,79.70%,2,"P:carbohydrate metabolic process; F:cellulose 1,4-beta-cellobiosidase activity",EC:3.2.1.91
g8312.t1,Not Available,233,,0,-,
g8313.t1,Not Available,242,,0,-,
g8314.t1,Not Available,308,,0,-,
g8315.t1,hypothetical protein VDAG_08190 [Verticillium dahliae VdLs.17],339,77.70%,0,-,
g8316.t1,Not Available,91,,0,-,
g8317.t1,extracellular cellulase,139,68.70%,2,P:defense response to fungus; P:defense response to bacterium,-
g8318.t1,related to hemolysin,135,48.15%,3,P:fruiting body development; P:cytolysis; P:hemolysis by symbiont of host erythrocytes,-
g8319.t1,Not Available,456,,0,-,
g832.t1,rnapii degradation factor def1,921,58.45%,0,-,
g8320.t1,formate dehydrogenase,363,92.25%,4,"F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; P:oxidation reduction; F:formate dehydrogenase activity; F:NAD or NADH binding",EC:1.1.1.0; EC:1.2.1.2
g8321.t1,Not Available,171,,0,-,
g8322.t1,Not Available,213,,0,-,
g8323.t1,hypothetical protein MGG_05551 [Magnaporthe oryzae 70-15],540,76.30%,4,P:drug transmembrane transport; C:membrane; F:antiporter activity; F:drug transmembrane transporter activity,-
g8324.t1,Not Available,256,,0,-,
g8325.t1,plasma membrane calcium-transporting atpase,1223,71.25%,5,F:calcium-transporting ATPase activity; P:calcium ion transmembrane transport; C:integral to membrane; P:ATP biosynthetic process; F:ATP binding,EC:3.6.3.8
g8326.t1,Not Available,300,,0,-,
g8327.t1,Not Available,516,,0,-,
g8328.t1,Not Available,299,,0,-,
g8329.t1,secreted protein,213,63.40%,0,-,
g833.t1,Not Available,478,,0,-,
g8330.t1,Not Available,162,,0,-,
g8331.t1,dimethyladenosine transferase,386,72.65%,2,"P:rRNA methylation; F:rRNA (adenine-N6,N6-)-dimethyltransferase activity",-
g8332.t1,pq loop repeat protein,647,44.20%,0,-,
g8333.t1,glycoside hydrolase family 61 protein,334,73.55%,3,F:molecular_function; P:biological_process; C:cellular_component,
g8334.t1,Not Available,194,,0,-,
g8335.t1,pyroglutamyl peptidase type,225,48.55%,2,F:aminopeptidase activity; P:proteolysis,EC:3.4.11.0
g8336.t1,duf567 domain protein,202,63.40%,0,-,
g8337.t1,mfs multidrug transporter,689,77.85%,5,P:tetracycline transport; P:transmembrane transport; C:integral to membrane; P:response to antibiotic; F:tetracycline:hydrogen antiporter activity,-
g8338.t1,monooxygenase moxc,146,69.00%,0,-,
g8339.t1,Not Available,229,,0,-,
g834.t1,hypothetical protein GLRG_06425 [Glomerella graminicola M1.001],421,49.00%,3,F:molecular_function; P:biological_process; C:cellular_component,
g8340.t1,glycerate kinase,414,72.10%,2,P:organic acid phosphorylation; F:glycerate kinase activity,EC:2.7.1.31
g8341.t1,Not Available,105,,0,-,
g8342.t1,Not Available,113,,0,-,
g8343.t1,fatty acid desaturase,583,72.40%,4,"P:fatty acid biosynthetic process; F:oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water; F:heme binding; P:oxidation reduction",EC:1.14.19.0
g8344.t1,Not Available,373,,0,-,
g8345.t1,Not Available,571,,0,-,
g8346.t1,short chain dehydrogenase family protein,251,79.95%,3,F:oxidoreductase activity; P:oxidation reduction; F:binding,-
g8347.t1,dihydrodipicolinate synthetase family protein,323,76.95%,2,F:lyase activity; P:metabolic process,-
g8348.t1,galactonate dehydratase,381,82.75%,2,F:catalytic activity; P:cellular amino acid catabolic process,-
g8349.t1,hypothetical protein GLRG_02416 [Glomerella graminicola M1.001],1236,69.30%,0,-,
g835.t1,Not Available,289,,0,-,
g8350.t1,ankyrin repeat protein,1135,44.60%,0,-,
g8351.t1,Not Available,536,,0,-,
g8352.t1,f-box domain containing protein,445,58.50%,0,-,
g8353.t1,Not Available,127,,0,-,
g8354.t1,dihydrodipicolinate synthetase family protein,323,77.60%,2,F:lyase activity; P:metabolic process,-
g8355.t1,Not Available,335,,0,-,
g8356.t1,ribokinase,316,66.90%,3,P:phosphorylation; P:D-ribose metabolic process; F:ribokinase activity,EC:2.7.1.15
g8357.t1,Not Available,87,,0,-,
g8358.t1,c2h2 type zinc finger containing protein,878,51.50%,5,"F:transcription factor activity; F:sequence-specific DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8359.t1,polyamine transporter 4,456,63.95%,1,P:transmembrane transport,-
g836.t1,hypothetical protein NECHADRAFT_65530 [Nectria haematococca mpVI 77-13-4],126,60.67%,0,-,
g8360.t1,branched-chain amino acid aminotransferase,385,75.60%,4,; ; P:branched chain family amino acid biosynthetic process; ,EC:2.6.1.42
g8361.t1,Not Available,108,,0,-,
g8362.t1,d-isomer specific 2-hydroxyacid dehydrogenase,346,71.70%,3,"F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; P:oxidation reduction; F:NAD or NADH binding",EC:1.1.1.0
g8363.t1,c6 finger domain,830,61.95%,4,"F:transcription factor activity; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g8364.t1,Not Available,248,,0,-,
g8365.t1,c2h2 transcription factor,2040,66.90%,3,C:nucleus; F:DNA binding; F:zinc ion binding,-
g8366.t1,Not Available,743,,0,-,
g8367.t1,hypothetical protein GLRG_09554 [Glomerella graminicola M1.001],902,59.10%,4,F:NAD or NADH binding; F:phosphoglycerate dehydrogenase activity; P:L-serine biosynthetic process; P:oxidation reduction,EC:1.1.1.95
g8368.t1,Not Available,190,,0,-,
g8369.t1,like family protein,314,77.80%,3,F:catalytic activity; P:metabolic process; F:binding,-
g837.t1,Not Available,767,,0,-,
g8370.t1,lactoylglutathione lyase,320,85.20%,2,F:metal ion binding; F:lactoylglutathione lyase activity,EC:4.4.1.5
g8371.t1,Not Available,358,,0,-,
g8372.t1,Not Available,284,,0,-,
g8373.t1,hypothetical protein TRIVIDRAFT_67392 [Trichoderma virens Gv29-8],379,63.60%,0,-,
g8374.t1,Not Available,163,,0,-,
g8375.t1,Not Available,1096,,0,-,
